---,Realm,Layer,AuraReach,DantianCapacity,QiReserveMax,ProgressRequired,StabilityRecovery,MaxCirculationStrength,PulseChargeDuration,PulseRecoveryDuration,AmbientWispCount,AmbientSpawnInterval,ImpureFraction,NatureWeights,MinorBreakthroughBaseChance
R8L6,8,6,92962.66,32805.0,19683.0,4489.84,0.13,1.0,1.04,0.61,21,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.65
R8L7,8,7,97253.25,34992.0,20995.2,4988.72,0.13,1.0,1.04,0.61,21,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.6
R8L8,8,8,101543.83,37179.0,22307.4,5487.59,0.13,1.0,1.04,0.61,21,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.55
R8L9,8,9,105834.41,39366.0,23619.6,5986.46,0.13,1.0,1.04,0.61,22,2.25,0.3667,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.5
R9L1,9,1,135868.5,65610.0,39366.0,4390.07,0.14,1.0,1.01,0.59,21,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.9
R9L2,9,2,144020.61,72171.0,43302.6,5487.59,0.14,1.0,1.01,0.59,21,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.85
R9L3,9,3,152172.72,78732.0,47239.2,6585.1,0.14,1.0,1.01,0.59,22,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.8
R9L4,9,4,160324.84,85293.0,51175.8,7682.62,0.14,1.0,1.01,0.59,22,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.75
R9L5,9,5,168476.95,91854.0,55112.4,8780.14,0.14,1.0,1.01,0.59,22,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.7
R9L6,9,6,176629.06,98415.0,59049.0,9877.66,0.14,1.0,1.01,0.59,23,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.65
R9L7,9,7,184781.17,104976.0,62985.6,10975.17,0.14,1.0,1.01,0.59,23,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.6
R9L8,9,8,192933.28,111537.0,66922.2,12072.69,0.14,1.0,1.01,0.59,23,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.55
R9L9,9,9,201085.39,118098.0,70858.8,13170.21,0.14,1.0,1.01,0.59,24,2.0,0.3,"((Generic, 1.0),(Yin, 0.5),(Yang, 0.5),(Fire, 0.5),(Water, 0.5),(Wood, 0.5),(Metal, 0.5),(Earth, 0.5),(Life, 0.5),(Void, 0.5))",0.5
